branches,branches(M/sec),branches(%),branch-misses,branch-misses(% of all),branch-misses(%),bus-cycles,bus-cycles(M/sec),bus-cycles(%),cache-misses,cache-misses(% of all),cache-misses(%),cache-references,cache-references(M/sec),cache-references(%),cpu-cycles,cpu-cyclesGHz,cpu-cycles(%),instructions,instructions(per cycle),instructions(%),ref-cycles,ref-cycles(M/sec),ref-cycles(%),context-switches,context-switches(K/sec),cpu-clock,cpu-clock(M/sec),cpu-migrations,cpu-migrations(K/sec),emulation-faults,emulation-faults(K/sec),major-faults,major-faults(K/sec),minor-faults,minor-faults(M/sec),page-faults,page-faults(M/sec),task-clock(msec),CPUs,duration(s)
1405857805721116,1733237.898,50.05%,135796724,0.00%,75.00%,444550986,0.548,75.00%,187622629616734,3.845,75.01%,4879692931425186,6016020.031,74.99%,12382972123083142,15266.577,50.01%,17948532117,0.00,62.51%,46454890601,57.273,75.01%,57787,0.071,810982.890604,999.835,2244,0.003,0,0.000,0,0.000,180308,0.222,180321,0.222,811116.470036,48.140,16.849175510
656037015296910,621074.069,64.36%,140487194,0.00%,59.39%,628273342,0.595,74.99%,1501289795166357,38.093,75.00%,3941081873705421,3731045.195,74.99%,11517532098566710,10903.715,51.32%,17521851147,0.00,62.51%,65032621645,61.567,74.99%,60316,0.057,1056161.172923,999.874,2143,0.002,0,0.000,0,0.000,187323,0.177,187333,0.177,1056294.327024,48.107,21.956970660
2507472146639403,2934855.031,61.74%,135846901,0.00%,60.45%,456626852,0.534,75.01%,562872499959982,9.090,75.01%,6192053815037178,7247450.512,75.00%,8521360056951742,9973.772,52.85%,17738001316,0.00,62.48%,47879866716,56.041,74.99%,60059,0.070,854187.411784,999.778,2101,0.002,0,0.000,0,0.000,179798,0.210,179805,0.210,854376.832906,48.132,17.750725750
1615705061365366,1956994.706,60.97%,132648137,0.00%,59.39%,484487994,0.587,74.99%,938304690060867,29.415,75.00%,3189910130795313,3863723.266,75.00%,10804645141659430,13086.939,54.71%,19136410278,0.00,62.50%,49590709538,60.066,74.98%,59969,0.073,825590.657465,999.982,2108,0.003,0,0.000,0,0.000,206224,0.250,206228,0.250,825605.228648,48.142,17.149219394
4482181725794293,6442070.173,62.80%,113711361,0.00%,62.28%,430681037,0.619,75.00%,5066718149794840,51.915,75.00%,9759604020691774,14027109.520,74.99%,28136751653748260,40439.888,50.02%,17499177460,0.00,62.52%,44319411113,63.699,75.00%,59723,0.086,695644.887506,999.824,2245,0.003,0,0.000,0,0.000,184176,0.265,184189,0.265,695767.293082,48.165,14.445447408
1582723339329833,1762999.518,62.24%,108058381,0.00%,60.41%,433930720,0.483,75.00%,1500884159191225,66.668,75.02%,2251292847669203,2507720.779,75.02%,10216634347558028,11380.335,52.35%,14509335821,0.00,62.49%,45320059668,50.482,74.98%,38920,0.043,897509.916089,999.739,1832,0.002,0,0.000,0,0.000,167310,0.186,167315,0.186,897744.623824,48.131,18.652243785
1500039766559995,1849612.791,56.29%,129869676,0.00%,68.76%,453689792,0.559,75.01%,562868617636011,11.997,75.01%,4691646721678578,5784999.825,74.99%,12101603083260844,14921.791,50.01%,18448196500,0.00,62.50%,46972212104,57.919,75.00%,62003,0.076,810959.668218,999.948,2220,0.003,0,0.000,0,0.000,189612,0.234,189618,0.234,811002.050727,48.133,16.849138731
2181482589387661,3580883.583,51.61%,129356272,0.00%,73.42%,476707754,0.783,75.00%,5252395961275968,38.885,75.03%,13507525666956914,22172479.005,75.02%,37428157354999008,61437.976,50.01%,18712689136,0.00,62.48%,49296160771,80.919,74.98%,62106,0.102,609017.195137,999.696,2271,0.004,0,0.000,0,0.000,180557,0.296,180571,0.296,609202.320774,48.187,12.642498298
519102653166806,852119.485,54.22%,120706661,0.00%,70.82%,388946401,0.638,74.99%,1313120033487038,23.330,75.02%,5628477802181726,9239281.631,75.01%,8441342103691112,13856.666,50.02%,16530411596,0.00,62.49%,40152290863,65.911,74.98%,54278,0.089,609055.183238,999.779,2250,0.004,0,0.000,0,0.000,179930,0.295,179937,0.295,609189.981082,48.182,12.643530838
736632113344865,862156.825,57.32%,125870843,0.00%,67.72%,485800805,0.569,75.01%,1688464484654489,47.360,75.02%,3565184850265416,4172704.932,75.00%,11541425832732784,13508.126,50.00%,17580588083,0.00,62.48%,50083400892,58.618,74.97%,57209,0.067,854352.389153,999.937,2132,0.002,0,0.000,0,0.000,188968,0.221,188977,0.221,854406.172504,48.133,17.751003577
