m-network-i(kb),m-network-o(kb),m-peak-memory(kb),s1-network-i(kb),s1-network-o(kb),s1-peak-memory(kb),s2-network-i(kb),s2-network-o(kb),s2-peak-memory(kb)
95066,39738,3647516,20200,48926,3340624,32756,49746,723730
95198,40090,3603972,20152,46878,3337984,19938,48728,723865
91720,38966,3628340,19574,45316,3336232,19788,46404,723196
91710,39406,3293440,19506,45366,3345184,19720,46272,726928
92680,39654,3542244,21462,46602,3334540,21104,45312,722638
93050,39636,3326208,70518,57908,3341672,19752,46714,724186
92790,39456,3572220,19728,46566,3348216,19596,46584,723387
92010,39996,3573644,20284,46434,3348076,19542,45204,724074
94934,39302,3612148,19412,45186,3341576,19890,49928,722689
95988,40064,3614236,20188,49778,3340148,20056,46450,724110
94802,39566,3654020,20142,46602,3338424,19940,48548,723934
94922,39630,3590356,20482,48986,3338752,20912,46860,723134
110606,45630,3346848,74558,62820,3333380,22360,51182,721595
94934,39486,3526868,32824,52244,3335584,33038,49854,722772
92940,40066,3664084,20018,46518,3331884,19804,48548,723410
95198,39246,3590472,20164,48614,3330108,19730,46716,725459
95990,40222,3332540,19858,46434,3347924,20160,48656,723593
95186,39882,3617752,19942,48662,3343640,19748,46620,722814
95448,39570,3334452,19880,46566,3343032,20194,49254,723672
101338,56128,3663348,19946,48974,3344384,36154,46642,722332
108068,43388,3589032,21072,47154,3333276,19802,48728,722780
100808,55700,3630904,32940,52316,3337768,32758,49614,723140
101602,86580,3707232,20046,46828,3340908,36234,54554,724406
197580,104039036,3632220,19906,48842,3344160,51413318,100846,727256
102008,56486,3476504,19886,46434,3330928,36420,49748,722002
101864,56054,3674696,20180,50042,3351664,36054,46404,723728
150252,48795192,3334896,19902,45850,3344516,37062,56286,726751
225230,128237682,3494012,20314,49910,3329912,89700548,140926,726320
118804,64048,3299824,24154,49708,3341940,40638,54450,724388
289964,91268,3330940,33414,53204,3326652,32936,48858,723098
101220,55932,3581488,292560,117528,3349208,309428,122594,724262
169624,69807190,3707460,20138,46386,3352620,25506380,82558,726908
98932,57028,3560924,20052,46386,3345108,36240,51210,726570
92444,39694,3304856,19674,45498,3343192,19888,46404,723874
91722,39630,3712124,20120,46386,3345788,19642,45384,724050
101442,116996,3538016,19762,45582,3335896,36270,54812,724263
108298,6029492,3707876,21208,46470,3346872,37292,51922,726210
101730,56270,3706600,19938,49184,3345916,36184,52458,726553
91458,39130,3647936,19542,45318,3353020,20944,46860,724200
92790,39584,3744516,19978,46602,3341632,19978,46356,723271
97742,55932,3333024,19864,46252,3344788,36052,51210,724018
98262,56348,3592396,20098,45498,3347752,36186,52542,723806
91590,38890,3684428,20002,46626,3342188,19536,45204,724821
289994,189456220,3336784,20322,46384,3340852,167447776,228778,726210
95106,42840,3584244,23294,49628,3351620,23376,50268,724073
91458,39238,3548428,19924,46566,3351156,19710,45204,723283
93174,39984,3600120,20190,46518,3338100,19794,46404,721512
384442,131686,3685844,21078,47286,3332600,19758,46450,723097
165400,63591900,3357644,19674,45630,3353572,127778,77104,727711
94918,39530,3661180,19860,46384,3344336,19778,48546,725184
276760,168525912,3349408,19976,48710,3349472,132590036,191890,727094
101482,56376,3701860,20020,46876,3346124,36340,54686,724072
95990,39728,3326900,20152,49598,3338452,19624,46272,723537
182828,81765396,3756252,19756,46566,3335864,28524982,88518,725627
374918,128816,3631764,20126,49910,3348040,20918,46860,724672
109134,43358,3670424,214882,98412,3338412,215266,101568,723734
102008,56646,3649624,33452,53400,3352348,49262,49878,724011
96254,39592,3737876,20126,46842,3350916,20150,49748,722814
96374,56474,3752264,20736,50106,3352740,20012,46404,724082
95306,39422,3614076,20042,45582,3339436,20520,49616,722656
140938,37051392,3644796,20044,49944,3347196,36392,51742,726210
95462,39822,3344596,20110,45790,3344956,20192,50192,724437
94802,39494,3673208,20160,49730,3341700,19682,45336,724717
107936,43032,3681544,20860,45906,3343416,20282,49796,723486
94934,39646,3620304,33148,53336,3340948,32406,48858,723946
100824,56156,3739348,19804,45498,3354344,36288,55490,724220
96134,39792,3643400,20424,49862,3342376,19764,46404,727133
95870,39924,3591516,19914,46386,3330640,20046,49796,722846
95054,39590,3672112,20388,50042,3346364,19514,45204,723999
289332,189410578,3756236,19642,45318,3354608,158817306,214614,725838
94444,39978,3664592,20206,48822,3342148,20816,47040,722982
123700,6829314,3715048,20028,46386,3347384,36496,54700,724514
290488,93264,3503692,33110,52304,3339668,32864,49746,723790
96252,40308,3657668,98748,68650,3346828,293328,122088,723902
169920,68933564,3738856,19806,48530,3344084,9331454,66250,725374
96494,40758,3342232,20402,46518,3353708,20188,48680,724218
