branches,branches(M/sec),branches(%),branch-misses,branch-misses(% of all),branch-misses(%),bus-cycles,bus-cycles(M/sec),bus-cycles(%),cache-misses,cache-misses(% of all),cache-misses(%),cache-references,cache-references(M/sec),cache-references(%),cpu-cycles,cpu-cyclesGHz,cpu-cycles(%),instructions,instructions(per cycle),instructions(%),ref-cycles,ref-cycles(M/sec),ref-cycles(%),context-switches,context-switches(K/sec),cpu-clock,cpu-clock(M/sec),cpu-migrations,cpu-migrations(K/sec),emulation-faults,emulation-faults(K/sec),major-faults,major-faults(K/sec),minor-faults,minor-faults(M/sec),page-faults,page-faults(M/sec),task-clock(msec),CPUs,duration(s)
9745563525,342.591,75.40%,341316110,3.50%,75.21%,696322689,24.478,75.18%,3170397739443203,1154.514,75.46%,274608775580104,9653461.225,51.25%,2723594333310721,95743.890,51.67%,49726006965,0.00,64.30%,72171646322,2537.086,76.10%,64427,0.002,28430.133296,999.419,5548,0.195,0,0.000,40,0.001,431050,0.015,431149,0.015,28446.664794,2.093,13.589202658
10146238465,383.996,75.94%,361941493,3.57%,75.91%,643546808,24.356,75.65%,4312766374744688,1551.366,75.06%,277997932119454,10521137.429,50.63%,2452271800360431,92808.923,51.65%,52064750253,0.00,64.45%,66863131530,2530.509,76.08%,68017,0.003,26404.720364,999.316,6540,0.248,0,0.000,40,0.002,530586,0.020,530750,0.020,26422.802097,1.384,19.093827409
9352158256,388.830,76.29%,336687618,3.60%,75.65%,584431677,24.299,75.54%,3916545357566659,704.459,75.46%,555964664403686,23115041.953,50.63%,1902958884398465,79118.292,51.77%,49002826907,0.00,64.02%,60976898073,2535.203,76.09%,63380,0.003,24035.146722,999.296,6198,0.258,0,0.000,40,0.002,463843,0.019,463938,0.019,24052.072479,1.350,17.813773213
10640146778,326.015,75.19%,360586914,3.39%,75.24%,798653827,24.471,75.41%,3152957019760948,539264631.614,75.88%,584677139,17.915,50.87%,4411840608622664,135179.339,51.04%,53636406177,0.00,63.67%,83059014638,2544.938,75.69%,67136,0.002,32619.939935,999.479,5994,0.184,0,0.000,39,0.001,598112,0.018,598221,0.018,32636.944655,1.736,18.805234160
9267734907,388.183,75.27%,336698666,3.63%,74.96%,581540059,24.358,75.04%,1307297778106627,484.471,75.36%,269840126845023,11302376.427,52.16%,5627940299017036,235728.839,52.51%,47906454787,0.00,64.36%,60409773489,2530.291,76.08%,62258,0.003,23858.314659,999.316,5858,0.245,0,0.000,40,0.002,443748,0.019,443852,0.019,23874.636328,2.134,11.185916383
9146166618,391.576,75.65%,325350900,3.56%,76.23%,569595118,24.386,76.02%,1301658189348010,117.485,75.69%,1107935965521925,47434249.101,50.81%,5824696634495158,249373.718,50.74%,47739740334,0.00,64.01%,58653524844,2511.143,75.74%,61602,0.003,23341.082977,999.306,5321,0.228,0,0.000,40,0.002,455102,0.019,455174,0.019,23357.299557,2.112,11.057385712
9201475529,395.723,76.64%,334877710,3.64%,75.99%,566189546,24.350,75.33%,2433804276235102,216.671,75.17%,1123270063041140,48307866.550,50.12%,4077581368361414,175362.331,51.77%,47204696091,0.00,65.04%,58578119955,2519.237,76.57%,61748,0.003,23236.075949,999.301,4749,0.204,0,0.000,39,0.002,448894,0.019,448962,0.019,23252.321894,2.148,10.823497734
9784581490,333.382,75.68%,339299133,3.47%,76.10%,715770552,24.388,76.51%,2024739461676458,365655252.445,76.46%,553729079,18.867,49.71%,5093922506710778,173560.848,49.73%,50205150076,0.00,62.74%,74417966853,2535.579,75.35%,63869,0.002,29333.200385,999.445,5385,0.183,0,0.000,39,0.001,401509,0.014,401600,0.014,29349.490779,2.672,10.982913129
9056278755,386.743,75.33%,334082709,3.69%,74.98%,567689213,24.243,75.69%,3328753953658228,304.116,76.10%,1094567378503534,46742838.020,51.43%,2169559848924299,92649.741,51.90%,46745542621,0.00,63.95%,59298291198,2532.298,76.00%,62358,0.003,23400.371838,999.299,5626,0.240,0,0.000,40,0.002,432517,0.018,432613,0.018,23416.793350,2.073,11.293711496
9381155762,382.179,75.18%,333676575,3.56%,75.92%,598728496,24.392,75.70%,1110432705381491,202.460,76.04%,548468866961985,22344057.682,51.32%,5815961473256322,236936.290,50.82%,48629698954,0.00,62.97%,62244949451,2535.795,74.65%,63346,0.003,24530.142785,999.333,5036,0.205,0,0.000,40,0.002,441229,0.018,441320,0.018,24546.520367,2.193,11.190604273
9337462775,393.477,74.92%,337095331,3.61%,75.59%,575364556,24.246,76.30%,2567096433905991,483444070.115,76.75%,531001742,22.376,51.29%,4972866011937186,209554.401,50.94%,48511229848,0.00,62.79%,60064043676,2531.073,74.98%,63092,0.003,23714.115196,999.302,6104,0.257,0,0.000,40,0.002,467027,0.020,467112,0.020,23730.668469,2.076,11.430888295
9605093297,382.737,75.43%,338041664,3.52%,75.58%,612950496,24.424,75.52%,927391370512969,335.233,75.88%,276641047956168,11023384.871,50.87%,6311538352560206,251497.444,51.29%,49231585920,0.00,63.41%,63670620684,2537.099,75.43%,62167,0.002,25080.302945,999.381,4713,0.188,0,0.000,40,0.002,484025,0.019,484107,0.019,25095.835008,2.375,10.566108968
