workload_conf,memory(kb),bytesread,byteswrite,cputime,branches,branches(M/sec),branches(%),branch-misses,branch-misses(% of all),branch-misses(%),bus-cycles,bus-cycles(M/sec),bus-cycles(%),cache-misses,cache-misses(% of all),cache-misses(%),cache-references,cache-references(M/sec),cache-references(%),cpu-cycles,cpu-cyclesGHz,cpu-cycles(%),instructions,instructions(per cycle),instructions(%),ref-cycles,ref-cycles(M/sec),ref-cycles(%),context-switches,context-switches(K/sec),cpu-clock,cpu-clock(M/sec),cpu-migrations,cpu-migrations(K/sec),emulation-faults,emulation-faults(K/sec),major-faults,major-faults(K/sec),minor-faults,minor-faults(M/sec),page-faults,page-faults(M/sec),task-clock(msec),CPUs,duration(s)
sort102,4166920,54751551,48545021,4230853063,14382660610,391.026,75.83%,483649837,3.36%,75.77%,899907321,24.466,75.89%,2047092156035888,724.557,75.62%,282530198159640,7681247.788,49.81%,3323145299790284,90347.519,50.82%,76083718158,0.00,63.70%,93547111675,2543.298,75.99%,86738,0.002,36760.568387,999.422,7356,0.200,0,0.000,148,0.004,496769,0.014,497071,0.014,36781.810192,3.134,11.736098622
sort103,4106560,54751551,48545021,4364974280,15100075729,393.707,75.33%,508208647,3.37%,75.49%,939797916,24.504,75.42%,3355607044889214,404.026,75.49%,830542724910143,21654912.431,50.84%,828090596839336,21590.978,50.99%,78923330499,0.00,63.64%,97741510236,2548.435,75.55%,87302,0.002,38332.633968,999.455,6808,0.178,0,0.000,148,0.004,518766,0.014,519078,0.014,38353.548071,3.240,11.838153744
sort104,4155984,54751551,48545021,4213864080,14562704163,398.257,75.66%,490848346,3.37%,75.89%,894647220,24.467,75.38%,3731554950175725,672.725,75.43%,554692531607812,15169570.656,50.74%,552973404094633,15122.556,50.91%,74919580272,0.00,63.84%,92641367563,2533.529,75.61%,87552,0.002,36545.341180,999.431,5696,0.156,0,0.000,149,0.004,522864,0.014,523130,0.014,36566.132569,3.153,11.598091169
sort105,4137412,54751551,48545021,4238338812,14392494520,407.623,75.18%,489620690,3.40%,75.48%,864260073,24.478,75.88%,739711589888554,265.330,76.10%,278789566696198,7895855.003,50.48%,5285973593289042,149708.906,50.59%,75311074730,0.00,62.96%,89639156995,2538.753,74.88%,85400,0.002,35287.691000,999.415,6709,0.190,0,0.000,147,0.004,457720,0.013,458046,0.013,35308.344264,3.011,11.727124256
sort106,4239328,54751551,48545021,4072809117,14680204385,404.494,75.33%,494660211,3.37%,75.67%,886931499,24.438,75.93%,1667162348370298,298.345,75.98%,558803211729802,15397107.570,50.37%,3633087308829053,100105.073,50.36%,78010996578,0.00,62.83%,92261206054,2542.139,75.11%,84369,0.002,36271.861919,999.425,6474,0.178,0,0.000,149,0.004,477161,0.013,477503,0.013,36292.739346,3.102,11.699001759
sort107,3949164,54751551,48545021,4740434794,14940299347,401.766,75.61%,505121304,3.38%,75.72%,909094814,24.447,75.58%,560015580686174,100.792,75.39%,555613648368956,14941243.668,50.66%,5569851026594936,149781.240,50.54%,78219069294,0.00,63.13%,94576370371,2543.294,75.36%,87372,0.002,37165.468217,999.432,6107,0.164,0,0.000,148,0.004,436414,0.012,436756,0.012,37186.573001,3.208,11.591190115
sort108,4142100,54751551,48545021,4297574119,14395948497,386.422,74.90%,480072690,3.33%,75.46%,911398211,24.464,75.94%,3138101542021425,340482857.383,76.24%,921662126,24.740,50.90%,2240163291951097,60131.427,50.26%,75768931608,0.00,62.72%,94817622871,2545.135,74.83%,85795,0.002,37234.161202,999.455,6198,0.166,0,0.000,148,0.004,504536,0.014,504797,0.014,37254.450795,3.158,11.796886499
sort109,4133944,54751551,48545021,4697751713,14895714576,386.319,74.99%,498217491,3.34%,74.96%,943013666,24.457,75.26%,2979900291715111,320379695.640,75.57%,930115214,24.122,51.26%,2186134863144310,56697.191,51.50%,76890771554,0.00,64.14%,98261644531,2548.406,75.90%,87363,0.002,38537.573541,999.468,6097,0.158,0,0.000,148,0.004,514074,0.013,514354,0.013,38558.080363,3.306,11.661401742
sort110,4184320,54751551,48545021,4463659259,14382724517,405.281,75.04%,492076419,3.42%,75.01%,867858485,24.455,75.38%,1859571292696609,194326452.841,75.68%,956931630,26.965,51.25%,3296329656867494,92885.141,51.24%,75719165953,0.00,63.71%,90076984258,2538.221,75.61%,85446,0.002,35467.138720,999.406,6920,0.195,0,0.000,149,0.004,496841,0.014,497144,0.014,35488.234287,3.077,11.532106198
sort111,4107276,54751551,48545021,4392585143,14661709386,387.915,74.63%,492833459,3.36%,74.42%,924870053,24.470,75.19%,2041560832599662,750.023,75.83%,272199593586607,7201775.589,51.70%,3275964092025035,86674.480,51.55%,76492804774,0.00,63.55%,96298052123,2547.825,75.32%,86419,0.002,37775.629412,999.456,6478,0.171,0,0.000,148,0.004,500716,0.013,500986,0.013,37796.178210,3.233,11.691648789
sort112,4199064,54751551,48545021,4578656445,14616484444,403.265,75.35%,495737793,3.39%,75.19%,887090377,24.475,75.09%,2996143566058704,321488694.612,75.16%,931959231,25.713,51.22%,1629536689437262,44958.539,51.82%,76632907917,0.00,64.24%,92122394493,2541.636,75.93%,87300,0.002,36224.086244,999.414,6865,0.189,0,0.000,149,0.004,529860,0.015,530157,0.015,36245.320942,3.103,11.679628575
sort113,4219528,54751551,48545021,4769917918,14768242223,380.590,75.63%,500682652,3.39%,75.92%,949178856,24.461,76.06%,1482171713062481,262.676,75.96%,564258889668931,14541441.612,49.88%,3657521890845441,94257.515,50.02%,78537322188,0.00,62.94%,98610930310,2541.289,75.34%,87417,0.002,38782.319171,999.454,7408,0.191,0,0.000,150,0.004,513811,0.013,514119,0.013,38803.504131,3.208,12.095722017
