workload_conf,memory(kb),bytesread,byteswrite,cputime,branches,branches(M/sec),branches(%),branch-misses,branch-misses(% of all),branch-misses(%),bus-cycles,bus-cycles(M/sec),bus-cycles(%),cache-misses,cache-misses(% of all),cache-misses(%),cache-references,cache-references(M/sec),cache-references(%),cpu-cycles,cpu-cyclesGHz,cpu-cycles(%),instructions,instructions(per cycle),instructions(%),ref-cycles,ref-cycles(M/sec),ref-cycles(%),context-switches,context-switches(K/sec),cpu-clock,cpu-clock(M/sec),cpu-migrations,cpu-migrations(K/sec),emulation-faults,emulation-faults(K/sec),major-faults,major-faults(K/sec),minor-faults,minor-faults(M/sec),page-faults,page-faults(M/sec),task-clock(M/sec),CPUs,duration(s)
svm91,5330204,48580835268,0,24818313478,23201068672,262.465,75.20%,701807891,3.02%,75.05%,2175601916,24.612,75.20%,3738977887110754,1337.671,75.28%,279513950710007,3162035.550,50.35%,835062482484405,9446.746,50.57%,173245654977,0.00,63.17%,226188470646,2558.785,75.34%,142078,0.002,88356.986990,999.549,15786,0.179,0,0.000,147,0.002,1580446,0.018,1580772,0.018,88396.840031,3.891,22.718561592
svm92,4670604,48695641874,0,23260523648,23576451215,237.276,75.27%,697891934,2.96%,75.26%,2446495062,24.622,75.09%,1123576217837434,401.610,75.16%,279767959442681,2815613.264,50.31%,4744883837146242,47752.995,50.43%,177204069988,0.00,63.03%,254459449686,2560.906,75.30%,147112,0.001,99324.592618,999.613,15277,0.154,0,0.000,148,0.001,731245,0.007,731570,0.007,99363.063465,4.455,22.305196185
svm93,5982048,48580835268,0,24021405406,23397417977,249.650,75.26%,705055383,3.01%,75.25%,2305654572,24.601,75.33%,2424553703923894,100803507.768,75.46%,2405227514,25.664,50.21%,2801870386961684,29895.882,50.23%,175680989807,0.00,62.86%,239597672509,2556.501,75.18%,140896,0.002,93680.560445,999.569,18888,0.202,0,0.000,148,0.002,2299889,0.025,2300203,0.025,93720.946160,3.323,28.206565951
svm94,6262936,48580835268,0,24015256182,22320240615,290.810,75.04%,682482629,3.06%,75.21%,1884895970,24.558,75.43%,3546016555857203,1271.397,75.41%,278907146377058,3633879.601,50.46%,1114166408070115,14516.468,50.53%,169557882709,0.00,63.06%,196153991194,2555.689,75.33%,138230,0.002,76713.497827,999.500,16694,0.218,0,0.000,147,0.002,1986591,0.026,1986886,0.026,76751.895218,3.492,21.980555894
svm95,6193896,48580835268,0,23688508555,22477391811,260.582,75.42%,692786585,3.08%,75.22%,2121772382,24.598,75.12%,2998534366003056,1070.822,75.10%,280021627734443,3246309.779,50.26%,1939479018180844,22484.512,50.80%,170108884085,0.00,63.52%,220311649676,2554.088,75.68%,140110,0.002,86220.238747,999.557,17343,0.201,0,0.000,149,0.002,1669280,0.019,1669639,0.019,86258.443219,3.504,24.616784374
svm96,5531632,48580835268,0,23654617571,22447090877,284.289,74.98%,700801729,3.12%,75.17%,1940231729,24.573,75.40%,2053374835951093,368.372,75.39%,557419503441479,7059637.613,50.50%,3066448933917813,38836.133,50.49%,171269042644,0.00,62.81%,201625406855,2553.557,75.10%,138085,0.002,78919.611353,999.505,16436,0.208,0,0.000,147,0.002,1208380,0.015,1208689,0.015,78958.656799,3.595,21.965016378
svm97,6289380,48580835268,0,23965286000,22835808061,264.995,75.56%,705461839,3.09%,75.35%,2122476473,24.630,75.21%,1872842768790165,332.426,75.15%,563386306003034,6537749.685,49.96%,3065530510382742,35573.586,50.50%,173865824744,0.00,63.20%,220201554369,2555.303,75.51%,140694,0.002,86133.488666,999.526,18360,0.213,0,0.000,148,0.002,2334895,0.027,2335235,0.027,86174.346398,3.324,25.921609449
svm98,6533924,48580835268,0,23544716833,22675639428,243.203,75.31%,695776424,3.07%,75.32%,2292219021,24.585,75.48%,1676803814862122,298.057,75.54%,562577492965993,6033800.704,50.03%,3091087568540282,33152.777,50.09%,171002808672,0.00,62.82%,238267868157,2555.489,75.18%,142620,0.002,93198.236566,999.577,18058,0.194,0,0.000,148,0.002,1982905,0.021,1983225,0.021,93237.665704,3.149,29.609753060
svm99,7311468,48580835268,0,24122436919,22725258921,252.662,75.38%,692200629,3.05%,74.91%,2211260535,24.585,74.96%,2619729327035447,940.305,75.21%,278604067170357,3097553.295,50.52%,1935017665726173,21513.758,50.92%,171871316792,0.00,63.44%,230081960552,2558.079,75.71%,140805,0.002,89902.191450,999.543,18853,0.210,0,0.000,150,0.002,3344731,0.037,3345075,0.037,89943.268338,3.016,29.818536852
svm100,6921528,48580835268,0,23627140430,22524482278,271.425,75.43%,697590954,3.10%,75.50%,2040317799,24.586,75.51%,1867370736927991,331.469,75.37%,563362338568239,6788635.633,49.96%,3644292092209227,43914.492,50.21%,172109715441,0.00,62.92%,211772744420,2551.906,75.30%,139939,0.002,82947.010731,999.529,16817,0.203,0,0.000,148,0.002,2049919,0.025,2050307,0.025,82986.091611,3.316,25.027476082
svm101,6390048,48580835268,0,24607468698,23255452810,251.995,75.26%,703609933,3.03%,74.98%,2271093674,24.609,74.95%,2246945212922540,268.983,75.16%,835349608221113,9051808.115,50.54%,2773346031855145,30051.844,50.75%,175779077278,0.00,63.24%,236346824625,2561.043,75.43%,143877,0.002,92242.861675,999.539,20203,0.219,0,0.000,148,0.002,4538603,0.049,4538935,0.049,92285.386260,2.961,31.167381468
svm102,5284452,48580835268,0,23298565366,23426655298,226.769,75.05%,706384052,3.02%,74.76%,2545247707,24.638,74.91%,1875869331044844,676.852,75.03%,277146060839605,2682759.849,50.78%,3587389894399092,34725.753,51.00%,173065215456,0.00,63.44%,264678142819,2562.071,75.49%,148779,0.001,103264.656532,999.597,17644,0.171,0,0.000,148,0.001,1834543,0.018,1834863,0.018,103306.324998,3.761,27.464247073
